city,state,total_records,avg_arrival_delay,max_arrival_delay
Heidelberg-Wieblingen,Baden-Württemberg,1064,2.63,56.0
Eschweiler,Nordrhein-Westfalen,546,2.63,52.0
Riesa,Sachsen,586,2.63,54.0
Lohr am Main,Bayern,402,2.62,40.0
Bingen-Gaulsheim,Rheinland-Pfalz,305,2.61,30.0
Westerstede-Ocholt,Niedersachsen,248,2.61,56.0
Geilenkirchen,Nordrhein-Westfalen,1535,2.61,58.0
Velten ,Brandenburg,492,2.61,25.0
Starnberg,Bayern,2033,2.61,32.0
Unkel,Rheinland-Pfalz,544,2.6,76.0
Guntersblum,Rheinland-Pfalz,423,2.6,44.0
Schierling,Bayern,469,2.59,33.0
Züssow,Mecklenburg-Vorpommern,410,2.59,83.0
Regensburg,Bayern,1528,2.59,44.0
Bürstadt,Hessen,534,2.58,40.0
Klanxbüll,Schleswig-Holstein,381,2.56,63.0
Plettenberg,Nordrhein-Westfalen,512,2.56,67.0
Lübbenau ,Brandenburg,609,2.56,51.0
Kobern-Gondorf,Rheinland-Pfalz,721,2.55,33.0
Lutherstadt Eisleben,Sachsen-Anhalt,429,2.53,62.0
Bensheim,Hessen,1600,2.53,41.0
Moers,Nordrhein-Westfalen,442,2.52,45.0
München,Bayern,116829,2.52,136.0
Budenheim,Rheinland-Pfalz,314,2.52,29.0
Neckarsteinach,Hessen,503,2.5,58.0
Sande,Niedersachsen,484,2.49,36.0
Sinntal - Jossa,Hessen,161,2.49,36.0
Biebesheim,Hessen,290,2.49,35.0
Karlstadt (Main),Bayern,390,2.49,57.0
Salzbergen,Niedersachsen,509,2.49,110.0
Ampfing,Bayern,271,2.48,27.0
Metzingen,Baden-Württemberg,1098,2.48,41.0
Haslach,Baden-Württemberg,570,2.47,58.0
Hürth-Kalscheuren,Nordrhein-Westfalen,767,2.46,69.0
Bad Endorf ,Bayern,341,2.45,45.0
Besigheim,Baden-Württemberg,561,2.45,41.0
Leimen,Baden-Württemberg,676,2.45,38.0
Schwerte ,Nordrhein-Westfalen,1052,2.44,89.0
Nettetal,Nordrhein-Westfalen,252,2.44,60.0
Haltern-Sythen,Nordrhein-Westfalen,476,2.43,31.0
Karlstein am Main,Bayern,510,2.42,74.0
Ingelheim,Rheinland-Pfalz,1005,2.41,51.0
Voerde,Nordrhein-Westfalen,809,2.41,46.0
Immendingen,Baden-Württemberg,564,2.4,56.0
Efringen-Kirchen,Baden-Württemberg,342,2.4,55.0
Wendlingen am Neckar,Baden-Württemberg,1254,2.39,36.0
Ludwigshafen ,Rheinland-Pfalz,703,2.38,43.0
Sigmaringen,Baden-Württemberg,432,2.38,54.0
Leinefelde,Thüringen,450,2.36,30.0
Kaufbeuren,Bayern,1047,2.36,36.0
Holzwickede,Nordrhein-Westfalen,895,2.35,89.0
Planegg,Bayern,828,2.35,36.0
Eberswalde,Brandenburg,721,2.34,49.0
Haßfurt,Bayern,536,2.34,38.0
Zellingen,Bayern,414,2.34,57.0
Viersen,Nordrhein-Westfalen,1184,2.33,60.0
Limburgerhof,Rheinland-Pfalz,713,2.33,43.0
Bullay,Rheinland-Pfalz,805,2.32,29.0
Kamen-Methler,Nordrhein-Westfalen,515,2.32,41.0
Soltau,Niedersachsen,591,2.32,41.0
Probstzella,Thüringen,163,2.31,54.0
Wolmirstedt,Sachsen-Anhalt,492,2.3,26.0
Angermünde,Brandenburg,687,2.3,54.0
Königswinter,Nordrhein-Westfalen,1020,2.29,76.0
Gauting,Bayern,1610,2.29,36.0
Leverkusen,Nordrhein-Westfalen,3654,2.29,88.0
Prien am Chiemsee,Bayern,462,2.29,45.0
Eberbach,Baden-Württemberg,690,2.28,59.0
Gelsenkirchen,Nordrhein-Westfalen,2255,2.28,133.0
Kamen,Nordrhein-Westfalen,815,2.28,41.0
Pasewalk,Mecklenburg-Vorpommern,459,2.28,74.0
Obertraubling,Bayern,572,2.28,43.0
Kleinostheim,Bayern,508,2.28,74.0
Bredstedt,Schleswig-Holstein,311,2.28,45.0
Altena,Nordrhein-Westfalen,464,2.28,61.0
Nierstein,Rheinland-Pfalz,478,2.27,46.0
Heidelberg,Baden-Württemberg,7634,2.27,59.0
Plattling,Bayern,676,2.26,54.0
Spaichingen,Baden-Württemberg,397,2.26,24.0
Dingolfing,Bayern,272,2.26,36.0
Ludwigshafen,Rheinland-Pfalz,4285,2.25,52.0
Lampertheim,Hessen,571,2.25,39.0
Langenhorn,Schleswig-Holstein,373,2.25,45.0
Bernau bei Berlin,Brandenburg,644,2.25,61.0
Porta Westfalica,Nordrhein-Westfalen,656,2.24,56.0
Köln-Mülheim,Nordrhein-Westfalen,2805,2.24,88.0
Oschatz,Sachsen,326,2.23,48.0
Oberhausen,Nordrhein-Westfalen,4329,2.22,66.0
Kempten ,Bayern,994,2.22,35.0
Bad Honnef,Nordrhein-Westfalen,1093,2.22,76.0
Lünen (Horstmar),Nordrhein-Westfalen,682,2.22,38.0
Grevenbroich,Nordrhein-Westfalen,826,2.21,77.0
Stade,Niedersachsen,427,2.21,40.0
Weidenthal,Rheinland-Pfalz,532,2.21,47.0
Neckargemünd,Baden-Württemberg,2050,2.21,59.0
Auggen,Baden-Württemberg,269,2.19,31.0
Wuppertal-Ronsdorf,Nordrhein-Westfalen,670,2.19,42.0
Falkensee,Brandenburg,2087,2.19,50.0
Ebersbach,Sachsen,280,2.19,77.0
Solingen,Nordrhein-Westfalen,1481,2.19,44.0
Dorfen,Bayern,309,2.18,29.0
Haßloch,Rheinland-Pfalz,496,2.18,53.0
Ludwigsfelde,Brandenburg,624,2.18,61.0
Tuttlingen,Baden-Württemberg,947,2.18,39.0
Perkam,Bayern,611,2.17,42.0
Bingen ,Rheinland-Pfalz,1169,2.17,35.0
Suhl,Thüringen,329,2.17,55.0
Kriftel,Hessen,592,2.16,28.0
Schallstadt,Baden-Württemberg,453,2.16,56.0
Mörfelden-Walldorf,Hessen,871,2.16,35.0
Osthofen,Rheinland-Pfalz,546,2.15,47.0
Unterlüß,Niedersachsen,280,2.15,27.0
Vechelde,Niedersachsen,469,2.14,55.0
Trebbin,Brandenburg,269,2.14,54.0
Mengen,Baden-Württemberg,519,2.14,52.0
Velbert-Neviges,Nordrhein-Westfalen,471,2.14,27.0
Mannheim,Baden-Württemberg,8107,2.13,57.0
Emmendingen,Baden-Württemberg,524,2.13,68.0
Eitorf,Nordrhein-Westfalen,866,2.13,59.0
Stelle,Niedersachsen,594,2.13,43.0
Emmerich,Nordrhein-Westfalen,277,2.13,21.0
Alfeld ,Niedersachsen,278,2.13,33.0
Köln-Blumenberg,Nordrhein-Westfalen,1268,2.12,29.0
Lennestadt,Nordrhein-Westfalen,992,2.12,66.0
Lünen,Nordrhein-Westfalen,605,2.11,38.0
Ahaus,Nordrhein-Westfalen,230,2.1,30.0
Winterbach ,Baden-Württemberg,849,2.1,41.0
Schifferstadt,Rheinland-Pfalz,1549,2.1,56.0
Kirchseeon,Bayern,2029,2.1,31.0
Bienenbüttel,Niedersachsen,298,2.1,39.0
Koblenz,Rheinland-Pfalz,3442,2.1,60.0
Ingolstadt,Bayern,2148,2.1,73.0
Herne,Nordrhein-Westfalen,4057,2.09,49.0
Alsheim,Rheinland-Pfalz,398,2.09,44.0
Bühl ,Baden-Württemberg,627,2.09,83.0
Heidingsfeld Ost,Bayern,303,2.09,22.0
Nufringen,Baden-Württemberg,794,2.09,33.0
Traunstein,Bayern,672,2.09,65.0
Nackenheim,Rheinland-Pfalz,483,2.08,46.0
Fürstenberg Havel,Brandenburg,239,2.08,40.0
Oppenheim,Rheinland-Pfalz,542,2.08,46.0
Mosbach,Baden-Württemberg,972,2.08,90.0
Speyer,Rheinland-Pfalz,690,2.07,56.0
Remshalden,Baden-Württemberg,1716,2.07,41.0
Böblingen-Hulb,Baden-Württemberg,808,2.06,33.0
Heilbad Heiligenstadt ,Thüringen,346,2.06,29.0
