city,state,total_records,avg_arrival_delay,max_arrival_delay
Mudersbach,Rheinland-Pfalz,1014,1.5,80.0
Donaueschingen,Baden-Württemberg,907,1.5,58.0
Otting,Bayern,247,1.5,20.0
Olsberg,Nordrhein-Westfalen,442,1.5,60.0
Burgau,Bayern,308,1.49,50.0
Blaubeuren,Baden-Württemberg,468,1.49,50.0
Tharandt,Sachsen,692,1.49,77.0
Frankfurt (Main),Hessen,1283,1.49,32.0
Neumarkt i. d. Opf.,Bayern,491,1.49,21.0
Freilassing,Bayern,999,1.49,63.0
Oelde,Nordrhein-Westfalen,515,1.49,29.0
Ottersberg,Niedersachsen,303,1.48,19.0
Bad Rappenau,Baden-Württemberg,518,1.48,43.0
Staßfurt,Sachsen-Anhalt,288,1.48,36.0
Schwaikheim,Baden-Württemberg,850,1.48,42.0
Gensingen,Rheinland-Pfalz,574,1.48,24.0
Wilster,Schleswig-Holstein,262,1.48,27.0
Bad Ems,Rheinland-Pfalz,426,1.47,24.0
Nienburg  ,Niedersachsen,274,1.47,44.0
Oldenburg (Oldb),Niedersachsen,996,1.47,55.0
Achern,Baden-Württemberg,625,1.47,83.0
Mertingen,Bayern,638,1.47,42.0
Weinstadt,Baden-Württemberg,2560,1.47,40.0
Kronach,Bayern,326,1.46,55.0
Leutkirch,Baden-Württemberg,326,1.46,31.0
Mühlheim-Dietesheim,Hessen,821,1.46,40.0
Neulußheim,Baden-Württemberg,443,1.46,37.0
Nohfelden,Saarland,533,1.46,37.0
Bad Staffelstein,Bayern,666,1.46,36.0
Mülheim an der Ruhr,Nordrhein-Westfalen,4842,1.46,45.0
Denzlingen,Baden-Württemberg,1020,1.46,68.0
Schwäbisch Gmünd,Baden-Württemberg,657,1.45,39.0
Langwedel,Niedersachsen,928,1.45,52.0
Velbert-Langenberg,Nordrhein-Westfalen,676,1.45,27.0
Wernau,Baden-Württemberg,580,1.45,34.0
Babenhausen,Hessen,1089,1.45,31.0
Bad Langensalza,Thüringen,449,1.45,28.0
Senden-Bösensell,Nordrhein-Westfalen,505,1.45,22.0
Witten,Nordrhein-Westfalen,1307,1.45,62.0
Doberlug-Kirchhain,Brandenburg,490,1.45,133.0
Engelskirchen,Nordrhein-Westfalen,489,1.45,26.0
Brechen,Hessen,419,1.45,42.0
Saarlouis,Saarland,727,1.45,40.0
Stendal,Sachsen-Anhalt,1200,1.45,31.0
Rösrath,Nordrhein-Westfalen,510,1.45,46.0
Lauenbrück,Niedersachsen,323,1.45,21.0
Winnenden,Baden-Württemberg,1369,1.44,58.0
Röhrmoos,Bayern,861,1.44,39.0
Langenfeld,Nordrhein-Westfalen,1538,1.44,26.0
Coswig,Sachsen,1327,1.44,47.0
Bad Sobernheim,Rheinland-Pfalz,552,1.44,41.0
Philippsburg ,Baden-Württemberg,555,1.43,56.0
Schwalbach a Ts,Hessen,605,1.43,22.0
Vierkirchen,Bayern,709,1.43,36.0
Dillingen (Saar),Saarland,824,1.43,40.0
Haan-Gruiten,Nordrhein-Westfalen,1253,1.42,37.0
Neustadt ,Rheinland-Pfalz,2114,1.42,57.0
Leinfelden - Echterdingen,Baden-Württemberg,696,1.42,22.0
Wesel,Nordrhein-Westfalen,732,1.42,23.0
Limburg a. d. Lahn,Hessen,293,1.42,29.0
Rheine,Nordrhein-Westfalen,874,1.42,110.0
Gäufelden,Baden-Württemberg,438,1.42,26.0
Lingen ,Niedersachsen,261,1.41,19.0
Karlsruhe - Hagsfeld,Baden-Württemberg,419,1.41,36.0
St. Ingbert,Saarland,1488,1.41,61.0
Rastede,Niedersachsen,252,1.4,28.0
Hagen,Nordrhein-Westfalen,2780,1.4,89.0
Zittau,Sachsen,569,1.4,43.0
Heusenstamm,Hessen,581,1.4,22.0
Dallgow (b Berlin),Brandenburg,513,1.4,38.0
Bietigheim-Bissingen,Baden-Württemberg,2659,1.4,73.0
Meißen,Sachsen,1207,1.39,46.0
Elmshorn,Schleswig-Holstein,1796,1.39,41.0
Bückeburg,Niedersachsen,597,1.39,55.0
Kevelaer,Nordrhein-Westfalen,423,1.38,108.0
Buchloe,Bayern,1402,1.38,22.0
Wurzen,Sachsen,593,1.38,48.0
Kirchen (Sieg),Rheinland-Pfalz,633,1.37,81.0
Finsterwalde ,Brandenburg,296,1.36,38.0
Oftersheim,Baden-Württemberg,584,1.36,36.0
Offenburg,Baden-Württemberg,1131,1.36,86.0
Groß Gerau-Dornberg,Hessen,870,1.35,35.0
Bondorf ,Baden-Württemberg,510,1.35,27.0
Bretten,Baden-Württemberg,1591,1.35,133.0
Dinkelscherben,Bayern,384,1.35,25.0
Waakirchen,Bayern,807,1.35,36.0
Eutingen im Gäu,Baden-Württemberg,432,1.35,20.0
Kiefersfelden,Bayern,303,1.34,53.0
Gundelfingen,Baden-Württemberg,574,1.34,24.0
Dachau,Bayern,1411,1.33,71.0
Kaufering,Bayern,1123,1.33,34.0
Sandersleben,Sachsen-Anhalt,402,1.33,27.0
Hattersheim am Main,Hessen,600,1.33,24.0
Mering,Bayern,2311,1.33,45.0
Schorndorf,Baden-Württemberg,1731,1.33,52.0
Olching,Bayern,1009,1.33,32.0
Idstein,Hessen,445,1.33,28.0
Mosbach (Baden),Baden-Württemberg,631,1.33,60.0
Meitingen,Bayern,679,1.33,41.0
Frechen,Nordrhein-Westfalen,1156,1.33,35.0
Haan ,Nordrhein-Westfalen,519,1.32,21.0
Owschlag,Schleswig-Holstein,525,1.31,25.0
Gronau (Westf),Nordrhein-Westfalen,490,1.31,27.0
Könnern,Sachsen-Anhalt,508,1.31,21.0
Biberach (Riß),Baden-Württemberg,741,1.31,55.0
Röthenbach a. d. Pegnitz,Bayern,734,1.31,27.0
Düsseldorf,Nordrhein-Westfalen,38262,1.31,157.0
Maisach,Bayern,1892,1.31,33.0
Lauf a. d. Pegnitz,Bayern,1133,1.31,39.0
Ismaning,Bayern,692,1.31,43.0
Kreiensen,Niedersachsen,533,1.3,37.0
Torgau,Sachsen,479,1.3,31.0
Esting,Bayern,1016,1.3,33.0
Leichlingen,Nordrhein-Westfalen,534,1.3,24.0
Bad Aibling,Bayern,369,1.3,30.0
Wörth,Rheinland-Pfalz,1851,1.3,86.0
Magdeburg,Sachsen-Anhalt,7691,1.3,66.0
Jaderberg,Niedersachsen,264,1.3,43.0
Rodgau-Weiskirchen,Hessen,790,1.29,21.0
Bad Camberg,Hessen,406,1.29,28.0
Großkrotzenburg,Hessen,496,1.29,75.0
Bergen (Rügen),Mecklenburg-Vorpommern,258,1.29,32.0
Marktredwitz,Bayern,763,1.29,49.0
Treuchtlingen,Bayern,580,1.29,48.0
Dormagen,Nordrhein-Westfalen,1030,1.29,39.0
Willich,Nordrhein-Westfalen,455,1.29,28.0
Schwabmünchen,Bayern,525,1.29,39.0
Belzig,Brandenburg,341,1.28,40.0
Bad Schussenried,Baden-Württemberg,351,1.28,38.0
Biessenhofen,Bayern,635,1.28,24.0
Weil  am Rhein,Baden-Württemberg,623,1.28,55.0
Köln-Kalk,Nordrhein-Westfalen,2006,1.28,43.0
Dietzenbach,Hessen,1333,1.27,22.0
Ahlen ,Nordrhein-Westfalen,515,1.27,27.0
Langgöns,Hessen,543,1.27,53.0
Illertissen,Bayern,531,1.27,20.0
Velgast,Mecklenburg-Vorpommern,287,1.27,34.0
Köln-Lövenich,Nordrhein-Westfalen,1259,1.27,35.0
Waldshut-Tiengen,Baden-Württemberg,963,1.27,24.0
Stuttgart,Baden-Württemberg,41571,1.27,60.0
Emden,Niedersachsen,459,1.27,72.0
Veitsbronn,Bayern,654,1.26,34.0
Egelsbach,Hessen,618,1.26,24.0
Graben-Neudorf,Baden-Württemberg,935,1.26,56.0
Einbeck,Niedersachsen,532,1.26,35.0
Roßtal,Bayern,589,1.26,60.0
Düren,Nordrhein-Westfalen,2042,1.26,52.0
Hohenstein-Ernstthal,Sachsen,578,1.25,31.0
Bad Lausick,Sachsen,515,1.25,30.0
Wennigsen  ,Niedersachsen,563,1.25,58.0
Obertshausen,Hessen,813,1.25,21.0
Riedstadt,Hessen,572,1.25,34.0
 Stutensee,Baden-Württemberg,418,1.25,36.0
Maxhütte-Haidhof,Bayern,522,1.25,38.0
Singen ,Baden-Württemberg,1319,1.25,55.0
Konz,Rheinland-Pfalz,1091,1.25,49.0
Freiberg ,Sachsen,655,1.25,77.0
Leipheim,Bayern,581,1.25,48.0
Grafrath,Bayern,729,1.25,34.0
Eichenau (Oberbay),Bayern,880,1.25,35.0
Neuhaus (Pegnitz),Bayern,669,1.24,22.0
Haste,Niedersachsen,920,1.24,53.0
Büchen,Schleswig-Holstein,659,1.24,26.0
Kirn,Rheinland-Pfalz,562,1.24,40.0
Leverkusen- Schlebusch,Nordrhein-Westfalen,549,1.24,22.0
Witzenhausen,Hessen,430,1.24,28.0
Arnsdorf,Sachsen,649,1.24,63.0
Georgensgmünd,Bayern,411,1.24,43.0
Sinsheim (Elsenz),Baden-Württemberg,728,1.23,35.0
Schleswig,Schleswig-Holstein,517,1.23,26.0
Poing,Bayern,1758,1.23,20.0
Trier-Pfalzel,Rheinland-Pfalz,605,1.23,26.0
Dombühl,Bayern,208,1.23,55.0
Stadt Wehlen,Sachsen,355,1.23,17.0
Bad Krozingen,Baden-Württemberg,757,1.23,67.0
Nörten-Hardenberg,Niedersachsen,648,1.23,36.0
Dorsten,Nordrhein-Westfalen,602,1.23,19.0
Rheinfelden           ,Baden-Württemberg,599,1.23,34.0
Schwerin,Mecklenburg-Vorpommern,1646,1.22,43.0
Gladbeck,Nordrhein-Westfalen,951,1.22,29.0
Leinfelden-Echterdingen,Baden-Württemberg,1055,1.22,22.0
Kirchheim,Bayern,823,1.21,18.0
Leipzig-Wahren,Sachsen,387,1.21,82.0
Münster-Sprakel,Nordrhein-Westfalen,314,1.21,30.0
Sersheim,Baden-Württemberg,763,1.21,21.0
Mühlheim (Main),Hessen,822,1.21,40.0
Freital,Sachsen,1664,1.21,71.0
Böbingen (Rems),Baden-Württemberg,535,1.21,39.0
Husum,Schleswig-Holstein,536,1.21,46.0
Burg,Sachsen-Anhalt,400,1.21,67.0
Neuss,Nordrhein-Westfalen,8326,1.21,61.0
Unterhaching,Bayern,1976,1.2,32.0
Zella-Mehlis,Thüringen,451,1.2,55.0
Salzwedel,Sachsen-Anhalt,232,1.2,24.0
Löwenberger Land-Löwenbe ,Brandenburg,439,1.2,38.0
Germering,Bayern,1937,1.2,32.0
Gehrden,Niedersachsen,512,1.2,58.0
Sarstedt,Niedersachsen,790,1.2,30.0
Feldkirchen,Bayern,826,1.2,17.0
Sachsenheim,Baden-Württemberg,764,1.19,21.0
Northeim ,Niedersachsen,793,1.19,36.0
Leonberg,Baden-Württemberg,3988,1.19,35.0
Nieder Wöllstadt,Hessen,600,1.19,19.0
Ronnenberg  ,Niedersachsen,509,1.19,58.0
Aulendorf,Baden-Württemberg,755,1.19,57.0
Weißwasser,Sachsen,267,1.19,25.0
Lörrach Schwarzwaldstraße,Baden-Württemberg,721,1.18,27.0
Kissing,Bayern,1166,1.18,44.0
Solingen-Ohligs,Nordrhein-Westfalen,2225,1.18,88.0
Achim,Niedersachsen,1107,1.18,50.0
Verden (Aller),Niedersachsen,456,1.18,47.0
Geldern,Nordrhein-Westfalen,430,1.18,108.0
Biberach ,Baden-Württemberg,684,1.18,39.0
Roßlau (Elbe),Sachsen-Anhalt,839,1.18,39.0
Krefeld,Nordrhein-Westfalen,3980,1.18,51.0
Itzehoe,Schleswig-Holstein,438,1.18,27.0
Appenweier,Baden-Württemberg,1014,1.17,83.0
Papenburg ,Niedersachsen,249,1.17,51.0
Linden,Hessen,544,1.16,52.0
Wiesbaden,Hessen,5196,1.16,41.0
Löbau,Sachsen,460,1.16,44.0
Rodgau,Hessen,793,1.16,21.0
Wetter ,Nordrhein-Westfalen,1090,1.16,36.0
Münchberg,Bayern,431,1.16,39.0
Dresden-Langebrück,Sachsen,573,1.15,41.0
Kellmünz,Bayern,314,1.15,27.0
Rodgau-Hainhausen,Hessen,790,1.15,20.0
Radeberg,Sachsen,1000,1.15,63.0
Bitterfeld-Wolfen ,Sachsen-Anhalt,575,1.14,37.0
Weiden in der Oberpfalz,Bayern,875,1.14,58.0
Bochum-Wattenscheid,Nordrhein-Westfalen,846,1.14,30.0
Mindelheim,Bayern,476,1.14,20.0
Königstein,Sachsen,512,1.14,23.0
Bochum,Nordrhein-Westfalen,6251,1.14,47.0
Greven-Reckenfeld,Nordrhein-Westfalen,358,1.14,30.0
Schkeuditz,Sachsen,1174,1.13,84.0
Senden,Bayern,671,1.13,22.0
Stolberg (Rheinl),Nordrhein-Westfalen,1384,1.13,52.0
Michendorf,Brandenburg,1209,1.13,33.0
Gießen,Hessen,2166,1.13,59.0
Altenburg,Thüringen,515,1.13,25.0
Hebertshausen,Bayern,709,1.13,39.0
Münster-Zentrum Nord,Nordrhein-Westfalen,712,1.13,30.0
Bruchmühlbach-Miesau,Rheinland-Pfalz,350,1.13,51.0
Villingen-Schwenningen,Baden-Württemberg,604,1.12,37.0
Feucht,Bayern,1304,1.12,30.0
Ochtrup,Nordrhein-Westfalen,313,1.12,9.0
Pleinfeld,Bayern,507,1.12,43.0
Breitengüßbach,Bayern,778,1.12,35.0
Ottweiler (Saar),Saarland,753,1.11,35.0
Wittenberge,Brandenburg,552,1.11,26.0
Tübingen,Baden-Württemberg,1473,1.11,69.0
Oberaudorf,Bayern,299,1.11,46.0
Erkner,Brandenburg,603,1.11,43.0
Ötigheim,Baden-Württemberg,416,1.11,28.0
Wetzlar,Hessen,1007,1.11,58.0
Korschenbroich,Nordrhein-Westfalen,1510,1.11,34.0
Güsten,Sachsen-Anhalt,510,1.1,34.0
Essen,Nordrhein-Westfalen,19975,1.1,159.0
Neufahrn,Bayern,1657,1.1,32.0
Bielefeld,Nordrhein-Westfalen,3169,1.1,49.0
Heidenau,Sachsen,2933,1.1,30.0
Bruchsal,Baden-Württemberg,2482,1.1,54.0
Lichtenfels,Bayern,1111,1.1,56.0
Rudolstadt (Thür),Thüringen,411,1.09,27.0
Münster,Nordrhein-Westfalen,2024,1.09,134.0
Nersingen,Bayern,585,1.09,48.0
Gotha,Thüringen,494,1.09,120.0
Rodgau-NiederRoden,Hessen,576,1.09,20.0
Mayen,Rheinland-Pfalz,337,1.09,15.0
Ochsenfurt,Bayern,403,1.09,13.0
Heilsbronn,Bayern,701,1.09,61.0
Oerlenbach,Bayern,775,1.09,38.0
Ravensburg,Baden-Württemberg,793,1.09,38.0
Oestrich-Winkel,Hessen,271,1.09,31.0
Trier,Rheinland-Pfalz,2187,1.08,48.0
Böblingen,Baden-Württemberg,2767,1.08,33.0
Hauptstuhl,Rheinland-Pfalz,457,1.07,50.0
Kressbronn,Baden-Württemberg,400,1.07,20.0
Monsheim,Rheinland-Pfalz,540,1.07,24.0
Aschaffenburg,Bayern,924,1.07,42.0
Renningen,Baden-Württemberg,2278,1.06,34.0
Wernigerode,Sachsen-Anhalt,265,1.06,55.0
Delitzsch,Sachsen,834,1.06,39.0
Germersheim,Rheinland-Pfalz,1441,1.06,56.0
Bitterfeld-Wolfen,Sachsen-Anhalt,990,1.06,38.0
Ludwigslust,Mecklenburg-Vorpommern,478,1.06,21.0
St Egidien,Sachsen,619,1.06,117.0
Illingen ,Baden-Württemberg,764,1.05,21.0
Butzbach,Hessen,1873,1.05,53.0
 Remchingen,Baden-Württemberg,587,1.05,24.0
Hattersheim (Main),Hessen,926,1.05,24.0
Köthen,Sachsen-Anhalt,568,1.05,21.0
Seelze,Niedersachsen,1159,1.05,57.0
Langweid ,Bayern,420,1.05,25.0
Glauchau ,Sachsen,830,1.05,113.0
Pirna,Sachsen,851,1.05,18.0
Groß Gerau,Hessen,447,1.05,31.0
Echterdingen,Baden-Württemberg,987,1.05,22.0
Langen (Hess),Hessen,1014,1.04,23.0
Vaihingen (Enz),Baden-Württemberg,1011,1.04,21.0
Hersbruck,Bayern,1023,1.04,40.0
Nürnberg,Bayern,12916,1.04,79.0
Halberstadt,Sachsen-Anhalt,1193,1.04,62.0
Donauwörth,Bayern,1058,1.04,22.0
Ebensfeld,Bayern,416,1.04,34.0
Schwarzenbek,Schleswig-Holstein,326,1.04,28.0
Osterholz-Scharmbeck,Niedersachsen,466,1.03,61.0
Türkheim ,Bayern,674,1.03,25.0
Backnang,Baden-Württemberg,1931,1.03,58.0
Fürstenwalde (Spree),Brandenburg,743,1.03,44.0
Lengede,Niedersachsen,310,1.03,31.0
Holzkirchen,Bayern,2055,1.03,39.0
Bassum,Niedersachsen,542,1.03,27.0
Neustadt (Dosse),Brandenburg,368,1.03,46.0
Seelze OT Letter,Niedersachsen,632,1.03,57.0
Eichstätt,Bayern,434,1.02,52.0
Lüneburg,Niedersachsen,583,1.02,40.0
Neuenmarkt,Bayern,652,1.02,43.0
Ronnenberg,Niedersachsen,1662,1.02,58.0
Bergheim,Nordrhein-Westfalen,433,1.02,21.0
Preetz,Schleswig-Holstein,756,1.02,25.0
 Dresden,Sachsen,263,1.02,22.0
Hofgeismar,Hessen,697,1.02,105.0
Brilon,Nordrhein-Westfalen,561,1.02,29.0
Neustadt a Rübenberge,Niedersachsen,590,1.02,45.0
Geltendorf,Bayern,1362,1.02,34.0
Oberkochen,Baden-Württemberg,410,1.02,50.0
 Nürnberg,Bayern,709,1.01,14.0
Lörrach,Baden-Württemberg,1684,1.01,27.0
Grenzach-Wyhlen,Baden-Württemberg,367,1.01,20.0
Biederitz,Sachsen-Anhalt,545,1.01,30.0
Erzhausen,Hessen,618,1.01,23.0
Unterföhring,Bayern,917,1.01,34.0
Borsdorf ,Sachsen,1174,1.01,78.0
Dortmund,Nordrhein-Westfalen,16618,1.0,54.0
Braubach,Rheinland-Pfalz,261,1.0,40.0
Geisenheim,Hessen,267,1.0,56.0
Cölbe,Hessen,670,1.0,57.0
Rathenow,Brandenburg,463,1.0,49.0
Neu Ulm,Bayern,1176,1.0,47.0
Friedberg (Hessen),Hessen,1891,1.0,58.0
Kirchheim unter Teck,Baden-Württemberg,972,1.0,34.0
Apen,Niedersachsen,216,1.0,40.0
Erftstadt,Nordrhein-Westfalen,527,0.99,29.0
Osterburken,Baden-Württemberg,614,0.99,67.0
Gröbers,Sachsen-Anhalt,468,0.99,84.0
Kall,Nordrhein-Westfalen,539,0.99,60.0
Pegnitz,Bayern,717,0.99,22.0
Benningen am Neckar,Baden-Württemberg,555,0.99,30.0
Kitzingen,Bayern,372,0.99,25.0
Neudietendorf,Thüringen,1116,0.99,59.0
Reichenbach (Fils),Baden-Württemberg,507,0.99,19.0
Bergisch Gladbach,Nordrhein-Westfalen,1022,0.98,27.0
Bohmte,Niedersachsen,274,0.98,15.0
Mechernich,Nordrhein-Westfalen,512,0.98,58.0
Gunzenhausen,Bayern,379,0.98,28.0
Wedemark,Niedersachsen,1494,0.98,37.0
Kißlegg,Baden-Württemberg,475,0.97,24.0
Herbertingen,Baden-Württemberg,524,0.97,52.0
Lippstadt,Nordrhein-Westfalen,692,0.97,19.0
Bad Kleinen,Mecklenburg-Vorpommern,676,0.97,30.0
Barnstorf,Niedersachsen,276,0.97,12.0
Neumünster,Schleswig-Holstein,1114,0.97,19.0
Hilden,Nordrhein-Westfalen,631,0.97,32.0
Salzkotten,Nordrhein-Westfalen,518,0.97,27.0
Lehrte,Niedersachsen,2468,0.96,58.0
Werl,Nordrhein-Westfalen,440,0.96,58.0
Meckenbeuren,Baden-Württemberg,917,0.96,38.0
Zossen,Brandenburg,1030,0.95,32.0
Plaue,Thüringen,572,0.95,53.0
Schwabach,Bayern,1762,0.95,41.0
Neu Isenburg,Hessen,1197,0.94,24.0
Jüterbog,Brandenburg,480,0.94,53.0
Sindelfingen,Baden-Württemberg,564,0.94,25.0
Rodgau-Dudenhofen (b Offe,Hessen,793,0.94,21.0
Pommelsbrunn,Bayern,458,0.94,19.0
Güstrow,Mecklenburg-Vorpommern,1345,0.94,77.0
Konstanz,Baden-Württemberg,1590,0.94,57.0
Schwentinental,Schleswig-Holstein,586,0.94,25.0
Bordesholm,Schleswig-Holstein,520,0.94,15.0
Otterfing,Bayern,552,0.94,24.0
Laupheim,Baden-Württemberg,681,0.93,39.0
Elze ,Niedersachsen,540,0.93,32.0
Frankfurt am Main,Hessen,67029,0.93,93.0
Großenhain,Sachsen,434,0.93,34.0
Dresden,Sachsen,18008,0.93,70.0
Titisee-Neustadt,Baden-Württemberg,486,0.93,22.0
Neusäß,Bayern,1117,0.93,36.0
Herzogenrath,Nordrhein-Westfalen,2897,0.93,57.0
Neuzelle,Brandenburg,266,0.93,45.0
Soest,Nordrhein-Westfalen,913,0.93,19.0
Raubling,Bayern,307,0.93,46.0
Uhingen,Baden-Württemberg,511,0.93,18.0
Barsinghausen,Niedersachsen,1566,0.92,41.0
Rückersdorf,Bayern,406,0.92,19.0
Niefern,Baden-Württemberg,536,0.92,30.0
Süßen,Baden-Württemberg,490,0.92,21.0
Syke,Niedersachsen,668,0.92,21.0
Minden,Nordrhein-Westfalen,681,0.91,55.0
Hockenheim,Baden-Württemberg,620,0.91,35.0
Korntal,Baden-Württemberg,1540,0.91,28.0
Bottrop,Nordrhein-Westfalen,1096,0.9,29.0
Eschborn,Hessen,3573,0.9,41.0
Karlsruhe,Baden-Württemberg,6208,0.9,114.0
Delmenhorst,Niedersachsen,1297,0.9,55.0
Celle,Niedersachsen,542,0.9,28.0
Gablingen,Bayern,418,0.89,25.0
Rövershagen,Mecklenburg-Vorpommern,405,0.89,30.0
Neustadt ,Baden-Württemberg,380,0.89,23.0
Bodenwöhr,Bayern,258,0.89,23.0
Neukieritzsch,Sachsen,1001,0.89,27.0
Dreieich,Hessen,1447,0.89,23.0
Bad Nauheim,Hessen,818,0.89,52.0
Bad Säckingen,Baden-Württemberg,481,0.89,19.0
Niederwiesa,Sachsen,802,0.88,37.0
Weißenfels,Sachsen-Anhalt,1003,0.88,40.0
Ludwigsburg,Baden-Württemberg,3450,0.88,74.0
Ettlingen,Baden-Württemberg,501,0.88,29.0
Nordhausen,Thüringen,497,0.88,24.0
St. Wendel,Saarland,1147,0.88,36.0
Rangsdorf,Brandenburg,374,0.87,22.0
Weimar (Lahn),Hessen,492,0.87,57.0
Creußen (Oberfr),Bayern,286,0.87,38.0
Hallstadt (b Bamberg),Bayern,521,0.87,10.0
Trier-Ehrang,Rheinland-Pfalz,714,0.86,22.0
Mühlacker,Baden-Württemberg,1444,0.86,31.0
Thaleischweiler-Fröschen,Rheinland-Pfalz,663,0.86,35.0
Flöha,Sachsen,935,0.86,76.0
Görlitz,Sachsen,608,0.86,27.0
Speichersdorf,Bayern,650,0.86,24.0
Heidenheim,Baden-Württemberg,528,0.86,39.0
Welver,Nordrhein-Westfalen,474,0.86,21.0
Bad Vilbel,Hessen,3029,0.86,37.0
Armsheim,Rheinland-Pfalz,695,0.85,33.0
Friedberg (Hess.),Hessen,597,0.85,19.0
Potsdam,Brandenburg,6404,0.85,49.0
Vienenburg,Niedersachsen,1035,0.85,54.0
Hallbergmoos,Bayern,822,0.85,41.0
Urbach (b Schorndorf),Baden-Württemberg,533,0.85,52.0
Leinfelden - Echterlingen,Baden-Württemberg,1048,0.85,22.0
Geseke,Nordrhein-Westfalen,472,0.84,19.0
Geithain,Sachsen,635,0.84,30.0
Waldkirch,Baden-Württemberg,483,0.84,18.0
Ditzingen,Baden-Württemberg,1114,0.84,27.0
Gröbenzell,Bayern,1012,0.84,32.0
Oberursel (Taunus),Hessen,1904,0.84,26.0
Kirchzarten - Himmelreich,Baden-Württemberg,615,0.84,36.0
Hinterzarten,Baden-Württemberg,501,0.84,21.0
Laatzen,Niedersachsen,286,0.83,24.0
Bad Nenndorf,Niedersachsen,511,0.83,40.0
Jünkerath,Rheinland-Pfalz,524,0.83,32.0
Giengen (Brenz),Baden-Württemberg,409,0.83,22.0
Gößnitz,Thüringen,600,0.82,28.0
Durmersheim,Baden-Württemberg,453,0.81,22.0
Rheinstetten,Baden-Württemberg,445,0.81,22.0
Alzey,Rheinland-Pfalz,589,0.81,25.0
Günzburg,Bayern,686,0.81,49.0
Stuttgart-Feuerbach,Baden-Württemberg,2656,0.8,39.0
Stuttgard-Nord,Baden-Württemberg,2654,0.8,39.0
Senftenberg,Brandenburg,1454,0.8,29.0
Werdau,Sachsen,548,0.8,19.0
Kulmbach,Bayern,589,0.8,20.0
Lollar,Hessen,441,0.8,56.0
Bobingen,Bayern,871,0.79,40.0
Bautzen,Sachsen,478,0.79,26.0
Bützow,Mecklenburg-Vorpommern,362,0.79,27.0
Betzdorf ,Rheinland-Pfalz,903,0.78,81.0
Haiger,Hessen,488,0.78,28.0
Falkenberg (Elster),Brandenburg,588,0.78,31.0
 Freinsheim,Rheinland-Pfalz,636,0.78,6.0
Plüderhausen,Baden-Württemberg,527,0.78,52.0
Halle,Sachsen-Anhalt,481,0.78,23.0
Eislingen (Fils),Baden-Württemberg,479,0.78,21.0
Aachen,Nordrhein-Westfalen,5393,0.77,53.0
Taucha,Sachsen,703,0.77,34.0
Hilden ,Nordrhein-Westfalen,746,0.76,32.0
Baunatal-Guntershausen,Hessen,771,0.76,29.0
Brandenburg an der Havel,Brandenburg,582,0.76,43.0
Fulda,Hessen,632,0.76,84.0
Nördlingen,Bayern,235,0.76,15.0
Taufkirchen,Bayern,965,0.76,31.0
Dieburg,Hessen,545,0.75,20.0
Brannenburg,Bayern,307,0.75,49.0
Petersaurach,Bayern,844,0.75,54.0
Eltville,Hessen,352,0.75,28.0
Coburg,Bayern,594,0.75,30.0
Bietigheim,Baden-Württemberg,445,0.75,22.0
Burgkunstadt,Bayern,555,0.75,21.0
Weimar,Thüringen,1185,0.75,45.0
Ebersbach (Fils),Baden-Württemberg,518,0.74,19.0
Großkorbetha,Sachsen-Anhalt,791,0.74,39.0
Weilburg,Hessen,617,0.74,58.0
Hude,Niedersachsen,1035,0.74,49.0
Wörrstadt,Rheinland-Pfalz,515,0.74,35.0
Sulzbach (Saar),Saarland,497,0.74,26.0
Karben,Hessen,1342,0.73,19.0
Langenhagen,Niedersachsen,3603,0.73,34.0
Leipzig Zentrum,Sachsen,3321,0.73,81.0
Neustadt (Aisch),Bayern,458,0.73,24.0
Biblis,Hessen,904,0.73,35.0
Glückstadt,Schleswig-Holstein,411,0.73,29.0
Nauen,Brandenburg,791,0.72,19.0
Büchenbach,Bayern,564,0.72,22.0
Oberhaching,Bayern,2052,0.72,47.0
Großbothen,Sachsen,204,0.71,12.0
Augsburg-Göggingen,Bayern,682,0.71,24.0
Lübeck,Schleswig-Holstein,1935,0.71,24.0
Ahrensburg,Schleswig-Holstein,1543,0.71,24.0
Klettgau,Baden-Württemberg,483,0.71,24.0
Neunkirchen a Sand,Bayern,523,0.71,40.0
Friedrichsdorf,Hessen,953,0.7,25.0
Crailsheim,Baden-Württemberg,388,0.7,58.0
Rüdesheim,Hessen,441,0.7,56.0
Reinfeld (Holstein),Schleswig-Holstein,556,0.7,17.0
Hochstadt-Marktzeuln,Bayern,835,0.7,35.0
Nordstemmen,Niedersachsen,530,0.7,30.0
Rendsburg,Schleswig-Holstein,598,0.69,26.0
Naumburg ,Sachsen-Anhalt,1029,0.69,27.0
Augsburg,Bayern,7514,0.69,83.0
Lorch (Württ),Baden-Württemberg,532,0.69,53.0
Nidderau,Hessen,742,0.69,53.0
Hannover,Niedersachsen,12175,0.69,57.0
Bayreuth,Bayern,996,0.68,38.0
Gallmersgarten,Bayern,520,0.68,35.0
Oranienburg,Brandenburg,2088,0.68,39.0
Sauerlach,Bayern,714,0.68,24.0
Horneburg,Niedersachsen,582,0.68,39.0
Bamberg,Bayern,1502,0.68,35.0
Haldensleben,Sachsen-Anhalt,272,0.68,11.0
Zwickau ,Sachsen,1246,0.67,32.0
Neunkirchen (Saar),Saarland,1909,0.67,35.0
