line,total_records,avg_arrival_delay,max_arrival_delay
95,125,0.0,0.0
RB80,206,0.0,0.0
RB72,465,0.0,0.0
RB64,204,0.0,0.0
RB92,400,0.0,0.0
RB53,138,0.0,0.0
RB52,894,0.0,0.0
RB50,479,0.0,0.0
RE17,803,0.0,0.0
RB4,370,0.0,0.0
RE45,125,0.0,0.0
RE57,719,0.0,0.0
RE72,341,0.0,0.0
RB18,124,0.0,0.0
RE78,112,0.0,0.0
RE82,224,0.0,0.0
RB16,364,0.0,0.0
RE8X,101,0.0,0.0
RB110,306,0.0,0.0
RB11,506,0.0,0.0
EV22A,718,0.0,0.0
RS6,154,0.0,0.0
S1,1958,0.0,0.0
S23,117,0.0,0.0
C11,209,0.0,0.0
A3,242,0.0,0.0
S62,818,0.0,0.0
S64,259,0.0,0.0
A2,150,0.0,0.0
RB76,144,0.0,0.0
